OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.30	0.48	0.24	0.18	11.14	26.84	12.16	6.93	5.44	2.08	3.10	7.55	21.30	12.60	0.89	0.29	0.74	2.03	0.50
0.29	0.47	0.23	0.17	10.96	22.77	13.15	7.81	6.40	2.02	3.25	9.01	19.85	11.73	0.91	0.31	0.90	1.95	0.48
0.27	0.46	0.20	0.16	13.84	31.28	15.84	8.12	6.01	2.25	3.31	9.61	25.31	17.12	1.14	0.32	0.98	2.53	0.72
0.27	0.45	0.20	0.14	16.42	41.10	17.31	8.91	7.39	2.53	3.82	10.31	29.14	22.44	1.33	0.38	1.07	2.96	0.93
0.29	0.47	0.23	0.16	12.22	26.79	14.08	7.79	5.91	2.17	3.33	8.08	22.61	14.84	0.99	0.32	0.82	2.24	0.60
0.28	0.46	0.22	0.15	13.94	33.34	15.74	8.47	6.39	2.38	3.48	10.23	26.86	15.18	1.18	0.34	1.05	2.70	0.62
0.28	0.46	0.22	0.15	13.17	34.67	15.96	8.23	6.36	2.20	3.56	9.65	26.29	13.20	1.11	0.34	0.98	2.61	0.53
0.26	0.45	0.20	0.14	13.25	29.84	15.49	8.71	6.71	2.38	3.54	10.37	24.29	14.79	1.13	0.35	1.08	2.47	0.61
0.27	0.46	0.21	0.14	11.98	32.81	13.13	7.48	5.88	2.09	3.25	9.25	25.96	9.48	1.07	0.32	0.94	2.62	0.39
0.28	0.47	0.23	0.15	13.77	30.21	16.69	8.31	6.42	2.15	3.42	9.28	26.28	16.10	1.13	0.33	0.94	2.61	0.65
0.30	0.49	0.23	0.17	11.40	24.77	13.04	7.39	6.13	2.17	2.96	8.42	21.28	12.96	0.92	0.28	0.83	2.04	0.52
0.28	0.46	0.23	0.15	12.74	30.11	14.59	8.77	6.25	2.16	3.39	8.85	24.88	13.84	1.08	0.33	0.91	2.50	0.57
0.27	0.46	0.22	0.14	13.17	31.97	15.40	7.83	6.31	2.20	3.50	9.28	27.11	12.79	1.14	0.34	0.96	2.74	0.52
0.30	0.48	0.24	0.17	11.50	26.46	13.47	7.55	6.06	2.27	2.89	8.69	22.16	12.24	0.94	0.27	0.85	2.12	0.50
0.27	0.46	0.21	0.15	13.68	33.55	16.29	8.29	6.28	2.30	3.41	9.04	27.79	14.49	1.16	0.33	0.93	2.79	0.60
0.29	0.47	0.23	0.17	11.60	27.84	14.23	7.65	5.45	2.28	3.47	8.19	23.93	10.81	0.98	0.33	0.82	2.34	0.44
0.27	0.46	0.21	0.14	14.57	38.93	15.95	8.75	6.60	2.45	3.60	9.56	30.35	14.77	1.25	0.35	0.98	3.05	0.62
0.28	0.47	0.23	0.15	13.05	34.82	14.85	8.19	6.20	2.40	3.31	8.88	26.80	13.20	1.10	0.32	0.90	2.64	0.53
0.29	0.46	0.24	0.16	11.73	27.43	13.69	7.22	5.81	2.14	3.59	7.73	22.35	13.26	0.97	0.35	0.79	2.22	0.53
0.29	0.47	0.23	0.17	11.20	24.68	13.72	7.37	5.59	2.28	3.35	7.92	21.98	11.55	0.94	0.32	0.80	2.16	0.46
0.29	0.47	0.23	0.16	12.62	28.23	15.56	7.49	6.29	2.18	3.61	8.59	25.23	13.03	1.06	0.35	0.87	2.50	0.53
0.28	0.47	0.22	0.15	12.89	32.34	14.39	7.68	5.85	2.17	3.03	8.87	25.79	13.87	1.09	0.30	0.90	2.58	0.57
0.31	0.49	0.25	0.17	10.98	27.86	12.23	6.56	4.96	2.32	2.66	6.92	22.79	11.55	0.89	0.25	0.68	2.18	0.45
0.28	0.47	0.23	0.15	15.96	41.91	16.56	9.05	6.34	2.13	3.42	9.50	30.17	20.76	1.28	0.33	0.96	3.00	0.83
0.27	0.45	0.20	0.14	13.76	31.56	16.87	8.20	6.82	2.30	3.31	9.84	26.55	15.36	1.18	0.33	1.02	2.71	0.64
0.30	0.47	0.25	0.17	11.36	27.06	12.91	7.25	6.01	2.24	3.69	7.66	23.41	10.67	0.96	0.35	0.77	2.29	0.42
