OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.25	0.42	0.19	0.15	11.17	15.10	15.81	9.30	7.15	2.40	4.34	10.65	17.18	12.52	0.99	0.45	1.14	1.76	0.62
0.32	0.49	0.26	0.21	6.59	7.31	7.64	4.64	5.91	2.21	4.22	5.95	8.97	7.21	0.56	0.43	0.61	0.87	0.32
0.40	0.54	0.36	0.30	5.46	9.14	6.91	4.49	4.65	2.20	2.55	6.28	8.22	4.80	0.44	0.21	0.58	0.72	0.24
0.26	0.47	0.21	0.11	10.69	27.13	13.93	8.30	3.69	2.70	3.08	8.09	24.07	7.51	1.05	0.33	0.90	2.63	0.35
0.31	0.44	0.30	0.18	5.58	11.21	6.52	3.73	3.20	1.54	2.64	2.39	11.90	5.37	0.50	0.28	0.26	1.25	0.22
0.25	0.43	0.21	0.11	17.00	44.21	18.46	11.61	5.42	2.32	4.23	12.62	32.18	18.98	1.51	0.44	1.38	3.40	0.83
0.30	0.45	0.28	0.16	9.40	24.56	12.48	5.73	4.01	1.76	3.90	4.71	21.61	7.37	0.90	0.42	0.53	2.36	0.27
0.16	0.34	0.10	0.05	20.30	49.78	26.31	11.39	9.26	3.06	4.57	16.63	43.79	16.19	2.29	0.52	2.15	5.61	0.89
0.30	0.43	0.35	0.14	14.41	47.09	13.84	8.21	5.52	2.04	4.71	11.28	30.71	10.93	1.40	0.51	1.28	3.42	0.40
0.29	0.46	0.26	0.16	10.60	37.08	11.42	5.37	3.58	1.36	2.48	6.95	27.95	5.01	1.06	0.26	0.75	3.01	0.20
0.29	0.45	0.26	0.16	8.66	15.00	12.09	6.09	3.33	2.49	3.29	5.16	17.04	9.17	0.78	0.32	0.55	1.84	0.41
0.21	0.43	0.13	0.08	11.90	18.91	14.27	6.90	6.66	2.03	3.06	8.16	19.24	17.12	1.10	0.33	0.98	2.22	0.88
0.25	0.46	0.14	0.13	12.98	29.46	14.05	8.69	7.94	1.64	2.94	12.83	17.59	18.56	1.14	0.32	1.42	1.90	0.90
0.32	0.49	0.26	0.21	7.32	7.52	9.11	5.54	5.45	1.27	2.48	5.87	11.60	9.32	0.60	0.22	0.63	1.14	0.39
0.25	0.48	0.18	0.09	12.95	36.83	13.97	6.70	4.69	2.42	1.83	7.94	35.98	6.06	1.35	0.19	0.90	4.06	0.27
0.35	0.51	0.33	0.23	5.66	12.23	5.26	4.95	3.34	2.07	1.88	3.21	12.70	4.85	0.48	0.20	0.32	1.20	0.20
0.28	0.43	0.27	0.15	11.94	32.44	18.76	6.17	5.93	2.22	4.38	5.01	26.83	11.52	1.15	0.44	0.59	3.05	0.53
0.29	0.44	0.22	0.20	5.52	11.36	6.39	2.93	4.04	2.00	2.86	4.79	9.37	5.06	0.52	0.30	0.52	1.05	0.20
0.31	0.45	0.25	0.22	7.95	19.42	7.73	5.69	3.82	1.38	3.72	6.52	13.28	8.29	0.70	0.37	0.69	1.38	0.38
0.31	0.49	0.26	0.19	11.36	25.26	13.54	7.47	6.45	2.66	2.63	12.92	20.03	9.86	1.02	0.27	1.36	2.04	0.42
0.31	0.49	0.22	0.22	7.79	15.95	12.59	4.57	3.30	1.89	2.05	5.31	18.43	5.38	0.73	0.23	0.55	1.87	0.28
0.43	0.55	0.46	0.27	6.67	12.55	7.20	5.69	3.68	1.43	2.10	1.90	17.92	4.74	0.50	0.19	0.15	1.54	0.14
0.32	0.47	0.27	0.22	5.05	9.49	5.61	4.46	2.99	1.85	1.92	3.84	10.44	3.99	0.47	0.21	0.39	1.09	0.17
0.31	0.47	0.27	0.21	4.79	12.80	5.83	3.44	2.74	1.58	2.96	3.44	9.65	3.11	0.44	0.31	0.36	0.95	0.14
0.25	0.44	0.18	0.11	12.68	35.45	10.65	8.86	6.54	1.78	3.21	10.47	26.15	10.90	1.25	0.35	1.17	2.96	0.53
0.31	0.45	0.32	0.17	5.68	8.56	7.70	4.35	3.00	1.48	2.87	2.56	12.14	5.14	0.51	0.28	0.29	1.25	0.22
0.23	0.41	0.17	0.09	11.39	17.29	13.78	6.61	5.47	2.00	2.16	9.07	17.48	16.85	1.08	0.24	1.08	2.09	0.90
0.38	0.52	0.37	0.26	3.44	6.09	3.39	2.51	1.45	1.59	2.17	2.25	6.10	3.26	0.29	0.22	0.25	0.59	0.11
0.34	0.53	0.27	0.23	6.04	7.48	6.44	5.55	4.61	2.11	3.43	5.52	10.56	4.66	0.51	0.32	0.53	1.00	0.17
0.32	0.43	0.32	0.20	14.56	36.51	20.44	10.33	6.75	2.19	8.97	6.71	38.59	3.97	1.58	0.99	0.76	4.38	0.17
0.29	0.46	0.24	0.17	8.95	12.06	10.66	7.77	3.78	2.12	3.10	5.19	14.98	12.53	0.74	0.33	0.55	1.55	0.55
0.32	0.48	0.30	0.17	7.73	18.32	10.39	5.50	5.38	2.53	3.32	3.43	19.04	5.15	0.71	0.35	0.35	1.93	0.21
