OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.64	0.58	0.69	0.65	0.68	0.66	0.43	0.84	0.19	0.47	1.47	0.27	0.18	0.81	0.05	0.13	0.03	0.02	0.03
0.56	0.48	0.58	0.60	0.92	0.66	0.80	1.06	1.15	0.46	2.60	0.28	0.48	0.30	0.09	0.26	0.03	0.07	0.01
0.52	0.43	0.58	0.55	1.23	0.54	1.47	1.01	1.42	0.63	3.05	0.63	0.36	0.87	0.12	0.33	0.07	0.05	0.04
0.53	0.45	0.60	0.55	0.83	0.83	0.76	0.99	0.55	0.52	2.40	0.31	0.24	0.35	0.09	0.25	0.03	0.05	0.02
0.65	0.58	0.70	0.67	0.60	1.01	0.83	0.65	0.41	0.29	2.11	0.04	0.26	0.00	0.05	0.19	0.01	0.02	0.00
0.59	0.50	0.63	0.63	0.77	0.89	0.82	0.81	0.62	0.48	2.16	0.33	0.31	0.27	0.07	0.21	0.03	0.03	0.01
0.56	0.46	0.62	0.59	0.76	0.65	1.06	0.51	0.91	0.65	2.54	0.06	0.38	0.07	0.08	0.27	0.01	0.05	0.00
0.54	0.44	0.62	0.57	0.85	0.79	0.53	1.12	0.97	0.64	2.82	0.01	0.49	0.09	0.09	0.30	0.00	0.06	0.01
0.55	0.46	0.61	0.60	1.44	1.43	1.14	1.91	1.78	0.45	4.36	0.62	0.34	0.44	0.15	0.44	0.08	0.04	0.03
0.59	0.50	0.68	0.60	0.63	0.19	0.85	0.73	0.51	0.41	2.24	0.05	0.24	0.00	0.06	0.20	0.00	0.03	0.00
0.52	0.44	0.56	0.57	0.82	1.00	1.18	0.78	0.66	0.30	2.36	0.25	0.15	0.52	0.08	0.26	0.03	0.02	0.02
0.52	0.40	0.60	0.55	1.42	0.84	1.75	1.91	0.91	0.66	4.57	0.43	0.46	0.20	0.15	0.49	0.05	0.07	0.01
0.58	0.50	0.65	0.60	1.35	0.91	1.82	1.36	1.93	0.48	4.10	0.32	0.38	0.61	0.12	0.38	0.04	0.04	0.02
0.57	0.47	0.62	0.61	1.31	1.55	1.84	1.59	0.59	0.43	4.46	0.40	0.34	0.03	0.13	0.44	0.04	0.04	0.00
0.54	0.45	0.60	0.57	0.85	0.85	0.98	0.69	0.98	0.78	2.87	0.02	0.49	0.01	0.09	0.29	0.00	0.06	0.00
0.49	0.36	0.59	0.53	1.45	1.52	1.73	1.67	1.16	0.67	4.98	0.11	0.36	0.35	0.17	0.60	0.01	0.06	0.02
0.58	0.51	0.65	0.59	0.81	0.88	0.55	1.02	1.06	0.37	2.49	0.04	0.40	0.30	0.08	0.25	0.00	0.05	0.01
0.57	0.47	0.64	0.60	1.03	0.86	1.14	1.60	0.60	0.68	3.17	0.16	0.59	0.20	0.10	0.30	0.02	0.07	0.01
0.58	0.50	0.61	0.62	1.30	1.71	1.16	1.70	0.92	0.50	4.10	0.23	0.35	0.51	0.11	0.37	0.03	0.03	0.02
0.60	0.52	0.68	0.60	0.78	0.90	0.95	0.83	0.76	0.45	2.47	0.07	0.56	0.00	0.07	0.21	0.01	0.05	0.00
0.56	0.48	0.61	0.60	0.74	1.01	0.76	0.79	0.56	0.65	2.68	0.02	0.24	0.02	0.08	0.28	0.00	0.03	0.00
0.60	0.50	0.68	0.62	0.91	1.55	0.94	1.12	0.84	0.38	3.13	0.01	0.50	0.00	0.09	0.31	0.01	0.06	0.00
0.57	0.48	0.64	0.58	0.64	0.42	0.76	0.72	0.59	0.54	2.16	0.01	0.29	0.10	0.06	0.20	0.01	0.04	0.00
0.59	0.49	0.65	0.64	0.74	0.66	0.86	0.60	0.90	0.67	2.45	0.10	0.32	0.08	0.07	0.21	0.02	0.02	0.01
0.58	0.48	0.67	0.59	0.86	0.78	1.05	0.72	0.98	0.81	2.85	0.09	0.43	0.08	0.09	0.29	0.01	0.06	0.00
0.58	0.51	0.61	0.61	0.82	1.21	0.86	0.64	1.55	0.43	3.01	0.02	0.08	0.19	0.08	0.29	0.00	0.02	0.00
0.46	0.39	0.49	0.51	1.81	1.91	1.81	1.61	2.36	0.97	4.81	0.57	1.01	0.84	0.21	0.59	0.08	0.13	0.05
0.61	0.53	0.67	0.62	0.55	0.38	0.64	0.68	0.33	0.46	1.87	0.00	0.32	0.02	0.06	0.18	0.00	0.04	0.00
0.55	0.46	0.62	0.59	0.78	1.78	0.60	0.76	0.69	0.43	2.60	0.04	0.30	0.20	0.08	0.25	0.01	0.04	0.00
0.51	0.41	0.59	0.54	0.99	1.14	0.76	1.09	1.33	0.71	3.48	0.02	0.43	0.04	0.12	0.43	0.01	0.06	0.00
0.53	0.43	0.62	0.56	1.11	1.35	0.90	1.34	1.12	0.83	3.89	0.02	0.47	0.04	0.12	0.42	0.00	0.06	0.00
0.54	0.44	0.61	0.55	1.11	1.14	1.30	1.37	0.84	0.38	3.59	0.07	0.61	0.17	0.12	0.39	0.01	0.06	0.01
