OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.44	0.48	0.51	0.20	23.57	91.09	28.70	14.42	9.18	6.75	3.45	0.64	19.21	0.70	0.57	0.33	0.07	1.84	0.03
0.42	0.47	0.51	0.13	31.47	111.22	49.07	18.09	11.04	7.25	3.33	0.63	27.23	0.74	0.80	0.34	0.07	2.75	0.03
0.41	0.45	0.48	0.14	25.08	87.54	32.01	15.45	11.82	7.31	3.38	0.69	20.55	1.12	0.65	0.34	0.08	2.11	0.05
0.40	0.46	0.46	0.14	32.20	123.40	41.09	17.68	10.19	7.10	3.19	0.57	28.11	0.82	0.82	0.32	0.06	2.87	0.04
0.39	0.46	0.46	0.12	32.63	123.06	37.28	14.88	11.63	6.81	3.95	0.74	27.53	1.00	0.84	0.40	0.08	2.84	0.04
0.41	0.46	0.48	0.15	22.44	70.58	31.64	15.04	13.43	7.84	3.37	0.78	17.88	1.04	0.57	0.34	0.08	1.81	0.05
0.43	0.50	0.49	0.18	22.21	71.37	28.31	14.37	9.72	7.14	2.95	0.92	17.92	1.06	0.53	0.28	0.10	1.71	0.04
0.40	0.46	0.47	0.15	25.16	73.53	37.65	19.19	12.57	7.21	4.00	0.91	19.80	1.06	0.63	0.39	0.09	1.98	0.04
0.42	0.47	0.50	0.16	27.34	100.45	35.69	18.81	10.47	7.13	3.63	0.63	22.63	1.17	0.68	0.35	0.06	2.26	0.05
0.42	0.47	0.48	0.15	24.35	83.00	32.93	14.88	10.40	7.04	2.62	0.78	20.64	0.75	0.60	0.26	0.08	2.04	0.03
0.41	0.47	0.47	0.16	25.80	89.59	29.45	18.71	11.04	6.82	3.32	1.21	20.80	1.13	0.65	0.32	0.13	2.08	0.05
0.41	0.45	0.48	0.15	32.01	136.07	40.72	16.92	9.79	6.40	3.64	0.65	27.40	0.82	0.83	0.37	0.08	2.83	0.03
0.42	0.46	0.48	0.17	28.32	114.29	30.88	15.45	10.25	6.64	2.96	0.76	24.22	0.99	0.71	0.29	0.08	2.43	0.04
0.45	0.49	0.52	0.22	24.21	88.69	33.66	13.74	9.92	6.75	3.77	1.14	18.87	1.11	0.57	0.35	0.11	1.77	0.05
0.39	0.45	0.46	0.14	38.97	150.43	57.22	18.60	12.94	7.07	3.53	1.20	33.61	1.51	1.00	0.35	0.13	3.45	0.06
0.43	0.47	0.50	0.17	26.97	96.05	35.12	14.29	10.08	6.74	3.70	0.82	22.05	0.96	0.67	0.36	0.09	2.20	0.04
0.43	0.49	0.49	0.19	19.67	50.26	29.00	13.77	9.59	6.56	2.95	0.60	15.73	0.95	0.47	0.28	0.06	1.51	0.04
0.42	0.47	0.49	0.16	26.86	81.51	42.92	17.64	10.30	6.15	2.83	0.86	22.84	0.82	0.67	0.28	0.09	2.26	0.03
0.44	0.50	0.50	0.20	19.52	74.34	25.02	12.53	10.26	5.63	2.93	0.64	15.64	0.77	0.46	0.28	0.06	1.48	0.03
0.42	0.48	0.48	0.18	18.09	38.14	26.76	14.15	10.72	6.39	3.35	0.69	13.59	1.14	0.44	0.32	0.07	1.34	0.05
0.39	0.43	0.47	0.12	39.44	173.95	50.01	19.73	9.87	7.82	3.50	0.72	34.82	1.05	1.04	0.36	0.08	3.67	0.05
