OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.44	0.52	0.55	0.23	5.42	18.24	3.91	3.98	1.28	1.79	1.48	0.51	19.10	0.60	0.52	0.12	0.06	1.90	0.02
0.32	0.42	0.45	0.08	5.63	9.71	9.41	4.41	2.63	1.35	3.04	0.97	17.58	0.92	0.63	0.36	0.12	1.98	0.05
0.34	0.43	0.47	0.12	10.78	34.27	20.74	4.14	3.56	2.13	3.75	0.90	36.47	1.99	1.18	0.42	0.10	4.12	0.10
0.34	0.44	0.43	0.17	4.21	9.00	4.54	3.23	3.18	1.58	2.71	0.62	12.38	1.14	0.43	0.27	0.08	1.33	0.06
0.36	0.50	0.42	0.16	8.76	35.83	9.62	3.99	2.86	1.37	3.64	2.46	27.32	1.62	0.88	0.37	0.27	2.77	0.09
0.44	0.50	0.59	0.22	2.76	2.81	4.26	2.69	1.37	1.19	2.51	0.06	8.26	0.22	0.28	0.24	0.02	0.84	0.01
0.32	0.41	0.45	0.09	7.84	35.00	12.55	4.09	3.40	1.72	4.34	0.33	26.40	0.28	0.87	0.48	0.03	2.94	0.01
0.33	0.43	0.42	0.14	5.11	8.02	9.75	2.99	2.62	1.69	3.03	0.46	16.15	0.79	0.55	0.34	0.06	1.77	0.03
0.39	0.45	0.54	0.19	3.81	8.19	4.75	3.21	3.37	1.46	2.79	0.27	11.87	0.30	0.40	0.27	0.04	1.30	0.01
0.47	0.54	0.58	0.30	2.19	5.30	3.02	1.77	1.20	1.19	2.02	0.02	6.37	0.33	0.17	0.15	0.01	0.52	0.01
0.28	0.36	0.39	0.09	18.78	60.63	31.30	4.74	4.66	2.12	4.39	2.15	63.04	5.53	2.17	0.50	0.29	7.62	0.28
0.39	0.46	0.53	0.17	3.89	8.60	4.23	3.44	2.61	1.32	2.49	1.11	10.19	1.77	0.36	0.23	0.11	1.02	0.08
0.40	0.51	0.48	0.22	3.35	6.41	5.05	2.32	2.25	1.05	1.40	1.10	9.90	0.99	0.32	0.14	0.12	1.00	0.04
0.35	0.44	0.48	0.14	3.32	6.06	4.30	2.09	2.13	2.08	2.40	0.12	10.15	0.63	0.35	0.27	0.03	1.07	0.02
0.41	0.47	0.53	0.24	4.49	8.09	8.83	2.97	2.30	1.38	3.53	0.63	12.90	0.91	0.44	0.34	0.08	1.29	0.03
0.37	0.47	0.47	0.18	3.75	5.83	6.15	2.90	1.91	1.42	2.95	0.46	10.73	0.87	0.36	0.31	0.06	1.06	0.03
0.39	0.47	0.49	0.20	4.91	8.97	9.18	2.50	1.84	1.55	2.62	0.27	16.02	0.73	0.50	0.27	0.04	1.67	0.03
0.46	0.53	0.56	0.30	3.44	5.45	4.63	2.47	2.12	1.41	2.52	1.37	7.06	2.81	0.27	0.21	0.14	0.63	0.11
0.36	0.44	0.47	0.17	3.73	8.98	4.00	3.72	2.45	1.92	3.14	0.73	10.72	0.35	0.39	0.31	0.08	1.15	0.02
0.32	0.42	0.42	0.11	6.69	18.55	12.34	5.35	3.44	1.51	3.61	0.83	21.25	1.06	0.73	0.40	0.08	2.37	0.05
0.37	0.45	0.52	0.14	4.15	12.94	5.85	2.57	1.41	1.24	2.61	0.28	12.92	0.80	0.43	0.28	0.04	1.38	0.03
0.32	0.43	0.40	0.12	10.28	32.80	18.40	4.28	3.22	1.37	5.38	0.84	33.74	1.16	1.12	0.58	0.12	3.71	0.06
0.33	0.42	0.46	0.13	8.97	46.04	7.45	3.74	4.67	2.22	3.79	1.17	29.64	1.26	1.00	0.45	0.13	3.34	0.07
0.36	0.44	0.50	0.15	6.59	21.44	7.93	4.36	2.12	2.00	3.40	0.76	20.31	1.87	0.69	0.34	0.08	2.24	0.09
0.45	0.54	0.54	0.27	2.47	5.92	2.92	1.74	1.56	1.28	2.20	0.07	7.42	0.18	0.21	0.19	0.01	0.62	0.01
0.31	0.42	0.41	0.12	9.45	31.14	12.86	3.85	3.16	1.66	3.74	0.77	32.90	0.40	1.02	0.37	0.09	3.58	0.03
