OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.30	0.54	0.06	0.32	56.31	26.39	58.21	36.66	23.03	2.02	1.98	63.34	7.41	152.52	3.29	0.20	6.41	0.73	5.84
0.27	0.45	0.02	0.34	54.05	62.46	54.82	49.69	39.93	4.16	2.56	144.94	12.67	56.04	4.81	0.26	15.53	1.36	2.10
0.29	0.46	0.05	0.38	56.68	55.07	70.94	43.22	55.51	4.38	3.07	141.48	7.94	74.22	4.96	0.32	15.25	0.87	3.40
0.26	0.42	0.02	0.36	106.18	89.86	116.47	99.61	84.19	2.46	4.67	257.06	6.97	156.02	9.78	0.49	30.19	0.83	7.61
0.30	0.52	0.03	0.35	62.09	136.90	46.83	34.64	37.21	5.72	2.26	92.69	6.81	146.59	4.14	0.22	9.24	0.68	6.43
0.28	0.48	0.09	0.28	65.60	39.02	65.63	35.77	16.28	3.81	2.51	39.30	10.38	210.22	3.46	0.24	4.19	1.06	8.35
0.25	0.37	0.01	0.37	74.17	107.54	92.96	64.03	58.26	3.52	2.82	174.45	7.90	111.52	6.53	0.32	20.05	0.89	4.89
0.33	0.50	0.03	0.47	71.55	74.67	74.17	66.73	76.20	6.78	3.29	203.91	7.17	71.83	6.14	0.33	20.41	0.72	3.10
0.30	0.52	0.03	0.36	73.02	88.75	83.55	47.58	33.97	3.93	2.13	96.44	9.25	184.24	4.52	0.19	9.22	0.83	7.84
0.33	0.56	0.02	0.41	71.44	85.13	69.61	36.76	31.39	4.27	1.96	82.31	10.36	191.15	3.85	0.14	7.28	0.89	7.07
0.29	0.42	0.02	0.42	87.30	110.87	91.58	88.19	82.33	2.59	3.13	273.73	3.95	68.38	8.69	0.31	30.75	0.44	3.25
0.29	0.50	0.02	0.34	69.35	54.76	79.49	36.74	34.52	2.89	3.39	76.77	15.22	182.01	3.93	0.29	7.19	1.37	6.85
0.32	0.50	0.02	0.43	71.07	81.16	78.36	60.68	45.82	4.14	3.11	177.38	6.57	97.19	5.61	0.29	17.42	0.62	4.12
0.33	0.54	0.02	0.44	48.45	71.59	42.35	32.34	39.75	3.63	4.06	88.07	5.07	96.61	2.95	0.33	7.86	0.44	3.16
0.31	0.54	0.01	0.38	57.43	67.47	61.79	44.49	36.28	3.23	1.72	122.26	9.42	96.31	3.90	0.16	11.24	0.85	3.36
