OG	OA	OE	OM	TeG	TeP1	TeP2	TeP3	TeP4	TeP5	TeMFC	TeMFT	TeMFA	TeMFM	TaG	TaMFC	TaMFT	TaMFA	TaMFM
0.36	0.46	0.49	0.15	7.25	25.93	9.73	3.82	2.83	1.74	3.37	0.70	24.03	0.91	0.71	0.33	0.08	2.41	0.04
0.37	0.47	0.48	0.16	6.88	21.09	10.39	3.88	2.61	1.73	3.11	0.68	22.89	0.82	0.67	0.30	0.08	2.28	0.04
0.35	0.45	0.47	0.13	7.18	25.93	8.96	3.90	2.91	1.83	3.51	0.84	23.38	1.00	0.72	0.35	0.09	2.39	0.04
0.36	0.46	0.46	0.15	8.01	30.92	9.82	4.04	2.84	1.84	3.16	0.83	26.97	1.10	0.79	0.31	0.09	2.70	0.05
0.36	0.46	0.47	0.15	7.61	29.80	8.65	4.12	2.74	1.67	3.34	0.97	24.86	1.26	0.75	0.33	0.10	2.50	0.05
0.38	0.47	0.49	0.17	6.23	19.64	8.15	3.72	2.67	1.78	2.95	0.69	20.32	0.94	0.60	0.28	0.08	2.00	0.04
0.37	0.47	0.49	0.15	8.07	29.97	10.92	4.28	2.89	1.72	3.33	0.81	27.28	0.86	0.78	0.32	0.09	2.70	0.03
0.36	0.47	0.47	0.16	6.36	19.10	9.13	3.77	2.81	1.65	3.23	0.80	20.19	1.20	0.61	0.31	0.08	2.00	0.05
0.38	0.48	0.49	0.17	7.67	27.85	10.16	3.57	2.70	1.70	3.34	0.69	25.78	0.87	0.74	0.32	0.08	2.54	0.04
0.38	0.48	0.49	0.18	5.57	16.33	7.29	3.84	2.86	1.63	3.19	0.67	17.53	0.88	0.52	0.30	0.07	1.69	0.03
0.38	0.48	0.49	0.18	5.69	17.52	7.60	3.53	2.79	1.69	3.00	0.72	18.11	0.92	0.53	0.28	0.08	1.74	0.04
0.34	0.45	0.45	0.13	10.42	46.55	11.03	4.62	3.10	1.81	3.57	1.16	35.67	1.28	1.05	0.36	0.13	3.67	0.06
0.38	0.47	0.49	0.17	5.73	18.52	6.87	3.41	2.65	1.69	3.17	0.67	18.21	0.87	0.55	0.30	0.07	1.78	0.04
0.37	0.47	0.49	0.15	8.62	35.64	10.62	4.07	2.80	1.77	3.66	0.73	28.99	1.12	0.84	0.36	0.08	2.90	0.05
0.37	0.47	0.49	0.16	7.05	25.82	8.97	3.92	2.85	1.70	3.31	0.70	23.31	0.88	0.69	0.32	0.08	2.31	0.04
0.36	0.46	0.48	0.15	8.73	36.21	11.31	3.91	2.71	1.63	3.37	0.73	29.88	0.94	0.86	0.33	0.08	2.99	0.04
0.35	0.45	0.46	0.13	9.39	34.48	13.34	4.09	3.06	1.76	3.69	0.97	31.56	1.34	0.94	0.37	0.11	3.24	0.06
0.37	0.47	0.48	0.17	6.64	23.15	8.06	3.92	2.68	1.66	3.31	0.73	21.51	0.99	0.64	0.32	0.08	2.12	0.04
